Test No,1's,2's,3's,4's,5's,6's,7's,8's,9's,Euclidean Distance, Pearsons Correlation
1,26.865671641791046,11.940298507462686,16.417910447761194,9.701492537313433,5.970149253731343,7.462686567164178,8.208955223880597,8.208955223880597,5.223880597014925,8.832159134344323,0.9314208067331909
2,35.07462686567165,16.417910447761194,8.208955223880597,7.462686567164178,8.208955223880597,7.462686567164178,5.970149253731343,5.970149253731343,5.223880597014925,7.170450923848896,0.970566293257634
3,34.32835820895522,17.91044776119403,14.925373134328357,8.208955223880597,2.9850746268656714,5.223880597014925,2.9850746268656714,7.462686567164178,5.970149253731343,8.234067153272846,0.9696633253725703
4,39.55223880597015,11.940298507462686,9.701492537313433,7.462686567164178,10.44776119402985,8.208955223880597,3.731343283582089,5.970149253731343,2.9850746268656714,12.273009904241142,0.9407703912834025
5,30.597014925373134,14.925373134328357,11.194029850746269,9.701492537313433,9.701492537313433,5.970149253731343,4.477611940298507,8.208955223880597,5.223880597014925,4.968682944475102,0.9770279568635933
6,29.1044776119403,21.641791044776117,11.940298507462686,8.955223880597014,9.701492537313433,6.7164179104477615,4.477611940298507,2.2388059701492535,5.223880597014925,5.636054494905789,0.974722189569149
7,39.55223880597015,11.940298507462686,9.701492537313433,7.462686567164178,10.44776119402985,8.208955223880597,3.731343283582089,5.970149253731343,2.9850746268656714,12.273009904241142,0.9407703912834025
8,32.08955223880597,17.16417910447761,10.44776119402985,8.955223880597014,8.208955223880597,7.462686567164178,6.7164179104477615,5.223880597014925,3.731343283582089,3.34686575151357,0.9920680103574062
9,30.597014925373134,17.91044776119403,14.17910447761194,7.462686567164178,8.208955223880597,7.462686567164178,4.477611940298507,4.477611940298507,5.223880597014925,3.372063626132471,0.9909498808603036
10,31.343283582089555,18.65671641791045,10.44776119402985,7.462686567164178,11.194029850746269,6.7164179104477615,1.4925373134328357,5.970149253731343,6.7164179104477615,6.8206437133048485,0.9636907023345517
11,33.582089552238806,20.149253731343283,9.701492537313433,11.194029850746269,2.2388059701492535,7.462686567164178,5.223880597014925,5.223880597014925,5.223880597014925,7.877481009923564,0.9694372768104931
12,29.1044776119403,11.194029850746269,11.194029850746269,9.701492537313433,10.44776119402985,10.44776119402985,8.955223880597014,6.7164179104477615,2.2388059701492535,9.078180519820956,0.9215810865631175
13,31.343283582089555,18.65671641791045,10.44776119402985,7.462686567164178,11.194029850746269,6.7164179104477615,1.4925373134328357,5.970149253731343,6.7164179104477615,6.8206437133048485,0.9636907023345517
14,33.582089552238806,23.134328358208954,13.432835820895523,8.955223880597014,4.477611940298507,7.462686567164178,2.2388059701492535,2.9850746268656714,3.731343283582089,8.624535914304907,0.9816300173752829
15,31.343283582089555,13.432835820895523,11.194029850746269,5.970149253731343,8.955223880597014,8.208955223880597,4.477611940298507,7.462686567164178,8.955223880597014,8.013599212112371,0.9396809001097552
16,29.850746268656714,25.37313432835821,12.686567164179104,9.701492537313433,5.970149253731343,2.2388059701492535,2.9850746268656714,7.462686567164178,3.731343283582089,9.919969126993687,0.9438272005254985
17,31.343283582089555,11.940298507462686,14.925373134328357,5.970149253731343,9.701492537313433,3.731343283582089,8.955223880597014,5.970149253731343,7.462686567164178,9.183575903998152,0.9230048982228204
18,33.582089552238806,23.134328358208954,13.432835820895523,8.955223880597014,4.477611940298507,7.462686567164178,2.2388059701492535,2.9850746268656714,3.731343283582089,8.624535914304907,0.9816300173752829
19,31.343283582089555,21.641791044776117,14.17910447761194,6.7164179104477615,5.970149253731343,7.462686567164178,4.477611940298507,5.970149253731343,2.2388059701492535,6.47997721449533,0.9785951129903893
20,33.582089552238806,20.149253731343283,10.44776119402985,8.208955223880597,2.2388059701492535,4.477611940298507,5.970149253731343,8.955223880597014,5.970149253731343,8.877819457771933,0.9552138342329933
21,32.83582089552239,12.686567164179104,11.194029850746269,9.701492537313433,8.955223880597014,5.223880597014925,5.223880597014925,8.955223880597014,5.223880597014925,7.225539158312939,0.95472123037896
