Test No,1's,2's,3's,4's,5's,6's,7's,8's,9's,Euclidean Distance, Pearsons Correlation
1,11.194029850746269,67.16417910447761,8.208955223880597,0.0,2.2388059701492535,2.2388059701492535,1.4925373134328357,2.9850746268656714,4.477611940298507,54.78631321633822,0.41833738212665905
2,19.402985074626866,12.686567164179104,13.432835820895523,5.970149253731343,14.925373134328357,12.686567164179104,8.955223880597014,9.701492537313433,2.2388059701492535,16.590635384034545,0.7084679640107042
3,30.597014925373134,20.8955223880597,11.940298507462686,11.194029850746269,8.955223880597014,6.7164179104477615,7.462686567164178,0.7462686567164178,1.4925373134328357,6.792825418513767,0.9722413021940595
4,11.940298507462686,18.65671641791045,12.686567164179104,20.149253731343283,11.194029850746269,12.686567164179104,5.970149253731343,4.477611940298507,2.2388059701492535,22.19897053278658,0.43053842231319006
5,7.462686567164178,8.955223880597014,25.37313432835821,17.91044776119403,18.65671641791045,11.940298507462686,5.223880597014925,1.4925373134328357,2.9850746268656714,31.295854591163078,0.07736740640297775
6,26.865671641791046,8.208955223880597,17.91044776119403,10.44776119402985,13.432835820895523,11.940298507462686,2.2388059701492535,0.7462686567164178,8.208955223880597,15.20589792480899,0.7797176627303039
7,11.940298507462686,18.65671641791045,12.686567164179104,20.149253731343283,11.194029850746269,12.686567164179104,5.970149253731343,4.477611940298507,2.2388059701492535,22.19897053278658,0.43053842231319006
8,18.65671641791045,20.149253731343283,5.970149253731343,11.194029850746269,13.432835820895523,6.7164179104477615,10.44776119402985,7.462686567164178,5.970149253731343,15.55610273712573,0.7513796913534454
9,15.671641791044777,41.7910447761194,26.865671641791046,2.2388059701492535,0.7462686567164178,0.7462686567164178,4.477611940298507,3.731343283582089,3.731343283582089,33.858904160584835,0.5552769688534281
10,17.91044776119403,12.686567164179104,16.417910447761194,17.16417910447761,10.44776119402985,8.208955223880597,5.970149253731343,8.955223880597014,2.2388059701492535,16.52349751563675,0.7072057661951036
11,19.402985074626866,19.402985074626866,18.65671641791045,14.925373134328357,9.701492537313433,8.208955223880597,4.477611940298507,1.4925373134328357,3.731343283582089,14.280264278807218,0.7938562302733787
12,43.28358208955223,20.8955223880597,16.417910447761194,8.955223880597014,4.477611940298507,1.4925373134328357,0.0,1.4925373134328357,2.9850746268656714,16.990120568313177,0.990637947472202
13,17.91044776119403,12.686567164179104,16.417910447761194,17.16417910447761,10.44776119402985,8.208955223880597,5.970149253731343,8.955223880597014,2.2388059701492535,16.52349751563675,0.7072057661951036
14,17.91044776119403,9.701492537313433,17.16417910447761,14.17910447761194,14.925373134328357,5.970149253731343,6.7164179104477615,8.208955223880597,5.223880597014925,17.707957214740812,0.6519237952171987
15,29.850746268656714,5.970149253731343,6.7164179104477615,9.701492537313433,6.7164179104477615,5.970149253731343,7.462686567164178,11.940298507462686,15.671641791044777,18.515787607685038,0.6660189951414124
16,29.850746268656714,19.402985074626866,20.8955223880597,9.701492537313433,5.970149253731343,7.462686567164178,2.9850746268656714,2.2388059701492535,1.4925373134328357,10.191675827938095,0.9391073533905995
17,10.44776119402985,11.940298507462686,37.3134328358209,29.1044776119403,6.7164179104477615,2.9850746268656714,0.0,0.0,1.4925373134328357,38.665110539098016,0.27420148376356435
18,17.91044776119403,9.701492537313433,17.16417910447761,14.17910447761194,14.925373134328357,5.970149253731343,6.7164179104477615,8.208955223880597,5.223880597014925,17.707957214740812,0.6519237952171987
19,14.17910447761194,11.940298507462686,11.194029850746269,13.432835820895523,14.925373134328357,9.701492537313433,8.208955223880597,11.194029850746269,5.223880597014925,20.070901169000823,0.5331730956742143
20,21.641791044776117,5.223880597014925,5.223880597014925,13.432835820895523,5.970149253731343,10.44776119402985,14.17910447761194,9.701492537313433,14.17910447761194,22.192296251638144,0.39878884965170824
21,12.686567164179104,5.223880597014925,18.65671641791045,32.83582089552239,20.8955223880597,5.223880597014925,0.7462686567164178,0.7462686567164178,2.9850746268656714,35.323264739483626,0.18715295606351703
